date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:45	8777/8777	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5c0b-2249%22	https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-3/Sonicau78-3/dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html	(from )
12:32:45	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267f443c5-239b%22	https://dc88top.github.io/robots.txt		(from )
12:32:46	3095/3095	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5c0b-c17%22	https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/css/countdown.css	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-3/Sonicau78-3/dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/css/countdown.css	(from https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html)
12:32:46	2099760/2099760	---M--	200	added ('OK')	image/png	etag:%22668a5c0b-200a30%22	https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/images/favicons.png	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-3/Sonicau78-3/dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/images/favicons.png	(from https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html)
12:32:46	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-3/Sonicau78-3/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html)
12:32:46	2081/2081	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5c0b-821%22	https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/css/animation.css	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-3/Sonicau78-3/dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/css/animation.css	(from https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html)
12:32:47	3865/3865	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5c0b-f19%22	https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/css/style.css	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-3/Sonicau78-3/dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/css/style.css	(from https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html)
12:32:48	285/285	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2004:32:47%20GMT	https://stransensilions.com/d/b25f21fe-f1f9-4c00-bc9f-59e4517aef64.js?lpref=&lpurl=https%3A%2F%2Fdefinitionman.com%2F07433-dog-care-07433%2F%3Fad_id%3D%257B%257Bad.id%257D%257D%26adset_id%3D%257B%257Badset.id%257D%257D%26campaign_id%3D%257B%257Bcampaign.id%257D%257D%26ad_name%3D%257B%257Bad.name%257D%257D%26adset_name%3D%257B%257Badset.name%257D%257D%26campaign_name%3D%257B%257Bcampaign.name%257D%257D%26source%3D%257B%257Bsite_source_name%257D%257D%26placement%3D%257B%257Bplacement%257D%257D%26pid%3D480907314393862%26cpid%3Db25f21fe-f1f9-4c00-bc9f-59e4517aef64%26lpid%3D9455ceb5-6e4d-480c-b629-7dbeab0d2989%23&lpt=BP9&vtm=1718181645702	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-3/Sonicau78-3/stransensilions.com/d/b25f21fe-f1f9-4c00-bc9f-59e4517aef64.6bc11.delayed	(from https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html)
12:32:48	415/415	---M-Z	200	added ('OK')	application/javascript	etag:%2219f-5f5bdadc8ffb5-gzip%22	https://zenacentre.com/backbutton/bp9myc/rolfix.js	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-3/Sonicau78-3/zenacentre.com/backbutton/bp9myc/rolfix.js	(from https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html)
12:32:48	289/289	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2010%20Apr%202025%2004:32:48%20GMT	https://stransensilions.com/d/b25f21fe-f1f9-4c00-bc9f-59e4517aef64.js	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-3/Sonicau78-3/stransensilions.com/d/b25f21fe-f1f9-4c00-bc9f-59e4517aef64.js	(from https://dc88top.github.io/FREEWHEEL/landing%20page%20x/definitionman.com/07433-dog-care-07433/index6625.html)
